# Momemtum(GeV/c) Total_Energy(GeV) Kinetic_Energy(GeV) Range(m)
5.000000 5.001117 4.895417 10.635000
5.250000 5.251064 5.145364 11.141000
5.512500 5.513513 5.407813 11.670000
5.788125 5.789090 5.683390 12.224000
6.077531 6.078450 5.972750 12.803000
6.381408 6.382283 6.276583 13.408000
6.700478 6.701312 6.595612 14.042000
7.035502 7.036296 6.930596 14.704000
7.387277 7.388033 7.282333 15.398000
7.756641 7.757361 7.651661 16.123000
8.144473 8.145159 8.039459 16.881000
8.551697 8.552350 8.446650 17.674000
8.979282 8.979904 8.874204 18.504000
9.428246 9.428838 9.323138 19.372000
9.899658 9.900222 9.794522 20.281000
10.394641 10.395178 10.289478 21.231000
10.914373 10.914885 10.809185 22.225000
11.460092 11.460579 11.354879 23.265000
12.033096 12.033560 11.927860 24.354000
12.634751 12.635193 12.529493 25.492000
13.266489 13.266910 13.161210 26.683000
13.929813 13.930214 13.824514 27.928000
14.626304 14.626686 14.520986 29.231000
15.357619 15.357983 15.252283 30.594000
16.125500 16.125846 16.020146 32.021000
16.931775 16.932105 16.826405 33.513000
17.778363 17.778678 17.672978 35.073000
18.667282 18.667581 18.561881 36.706000
19.600646 19.600931 19.495231 38.413000
20.580678 20.580949 20.475249 40.199000
21.609712 21.609970 21.504270 42.068000
22.690197 22.690444 22.584744 44.022000
23.824707 23.824942 23.719242 46.066000
25.015943 25.016166 24.910466 48.204000
26.266740 26.266953 26.161253 50.440000
27.580077 27.580279 27.474579 52.778000
28.959081 28.959274 28.853574 55.223000
30.407035 30.407218 30.301518 57.779000
31.927386 31.927561 31.821861 60.452000
33.523756 33.523922 33.418222 63.246000
35.199944 35.200102 35.094402 66.167000
36.959941 36.960092 36.854392 69.220000
38.807938 38.808082 38.702382 72.411000
40.748335 40.748472 40.642772 75.746000
42.785751 42.785882 42.680182 79.231000
44.925039 44.925163 44.819463 82.872000
47.171291 47.171409 47.065709 86.676000
49.529855 49.529968 49.424268 90.650000
52.006348 52.006456 51.900756 94.801000
54.606666 54.606768 54.501068 99.136000
57.336999 57.337096 57.231396 103.663000
60.203849 60.203942 60.098242 108.388000
63.214041 63.214130 63.108430 113.321000
66.374743 66.374828 66.269128 118.469000
69.693481 69.693561 69.587861 123.842000
73.178155 73.178231 73.072531 129.446000
76.837062 76.837135 76.731435 135.293000
80.678915 80.678985 80.573285 141.390000
84.712861 84.712927 84.607227 147.747000
88.948504 88.948567 88.842867 154.374000
93.395929 93.395989 93.290289 161.280000
98.065726 98.065783 97.960083 168.475000
102.969012 102.969066 102.863366 175.970000
108.117463 108.117515 108.011815 183.776000
113.523336 113.523385 113.417685 191.902000
119.199503 119.199550 119.093850 200.358000
125.159478 125.159523 125.053823 209.157000
131.417452 131.417494 131.311794 218.309000
137.988324 137.988365 137.882665 227.826000
144.887741 144.887779 144.782079 237.717000
152.132128 152.132164 152.026464 247.993000
159.738734 159.738769 159.633069 258.666000
167.725671 167.725704 167.620004 269.745000
176.111954 176.111986 176.006286 281.242000
184.917552 184.917582 184.811882 293.169000
194.163430 194.163458 194.057758 305.537000
203.871601 203.871629 203.765929 318.355000
214.065181 214.065207 213.959507 331.637000
224.768440 224.768465 224.662765 345.393000
236.006862 236.006886 235.901186 359.633000
247.807205 247.807228 247.701528 374.368000
260.197566 260.197587 260.091887 389.606000
273.207444 273.207464 273.101764 405.360000
286.867816 286.867836 286.762136 421.637000
301.211207 301.211225 301.105525 438.446000
316.271767 316.271785 316.166085 455.794000
332.085356 332.085372 331.979672 473.686000
348.689623 348.689639 348.583939 492.131000
366.124105 366.124120 366.018420 511.133000
384.430310 384.430324 384.324624 530.699000
403.651825 403.651839 403.546139 550.834000
423.834417 423.834430 423.728730 571.543000
445.026137 445.026150 444.920450 592.829000
467.277444 467.277456 467.171756 614.695000
490.641316 490.641328 490.535628 637.139000
515.173382 515.173393 515.067693 660.164000
540.932051 540.932062 540.826362 683.778000
567.978654 567.978664 567.872964 707.981000
596.377587 596.377596 596.271896 732.771000
626.196466 626.196475 626.090775 758.146000
657.506289 657.506298 657.400598 784.104000
690.381604 690.381612 690.275912 810.641000
724.900684 724.900692 724.794992 837.752000
