# Momemtum(GeV/c) Total_Energy(GeV) Kinetic_Energy(GeV) Range(m)
761.145718 761.145725 761.040025 865.430000
799.203004 799.203011 799.097311 893.672000
839.163154 839.163161 839.057461 922.471000
881.121312 881.121318 881.015618 951.820000
925.177377 925.177384 925.071684 981.711000
971.436246 971.436252 971.330552 1012.132000
1020.008059 1020.008064 1019.902364 1043.076000
1071.008462 1071.008467 1070.902767 1074.544000
1124.558885 1124.558890 1124.453190 1106.530000
1180.786829 1180.786834 1180.681134 1139.025000
1239.826170 1239.826175 1239.720475 1172.019000
1301.817479 1301.817483 1301.711783 1205.498000
1366.908353 1366.908357 1366.802657 1239.452000
1435.253770 1435.253774 1435.148074 1273.869000
1507.016459 1507.016463 1506.910763 1308.733000
1582.367282 1582.367285 1582.261585 1344.033000
1661.485646 1661.485649 1661.379949 1379.758000
1744.559928 1744.559932 1744.454232 1415.896000
1831.787925 1831.787928 1831.682228 1452.432000
1923.377321 1923.377324 1923.271624 1489.355000
2019.546187 2019.546190 2019.440490 1526.654000
2120.523496 2120.523499 2120.417799 1564.323000
2226.549671 2226.549674 2226.443974 1602.351000
2337.877155 2337.877157 2337.771457 1640.729000
2454.771013 2454.771015 2454.665315 1679.445000
2577.509563 2577.509565 2577.403865 1718.489000
2706.385041 2706.385043 2706.279343 1757.843000
2841.704293 2841.704295 2841.598595 1797.498000
2983.789508 2983.789510 2983.683810 1837.444000
3132.978983 3132.978985 3132.873285 1877.664000
3289.627933 3289.627934 3289.522234 1918.141000
3454.109329 3454.109331 3454.003631 1958.864000
3626.814796 3626.814797 3626.709097 1999.823000
3808.155535 3808.155537 3808.049837 2041.004000
3998.563312 3998.563314 3998.457614 2082.398000
4198.491478 4198.491479 4198.385779 2123.996000
4408.416052 4408.416053 4408.310353 2165.792000
4628.836854 4628.836856 4628.731156 2207.775000
4860.278697 4860.278698 4860.172998 2249.924000
5103.292632 5103.292633 5103.186933 2292.235000
5358.457264 5358.457265 5358.351565 2334.719000
5626.380127 5626.380128 5626.274428 2377.373000
5907.699133 5907.699134 5907.593434 2420.183000
6203.084090 6203.084091 6202.978391 2463.140000
6513.238294 6513.238295 6513.132595 2506.232000
6838.900209 6838.900210 6838.794510 2549.452000
7180.845219 7180.845220 7180.739520 2592.795000
7539.887480 7539.887481 7539.781781 2636.248000
7916.881854 7916.881855 7916.776155 2679.805000
8312.725947 8312.725948 8312.620248 2723.461000
8728.362244 8728.362245 8728.256545 2767.208000
9164.780357 9164.780357 9164.674657 2811.042000
9623.019374 9623.019375 9622.913675 2854.952000
10104.170343 10104.170344 10104.064644 2898.934000
10609.378860 10609.378861 10609.273161 2942.990000
11139.847803 11139.847804 11139.742104 2987.119000
11696.840193 11696.840194 11696.734494 3031.319000
12281.682203 12281.682204 12281.576504 3075.586000
12895.766313 12895.766314 12895.660614 3119.911000
13540.554629 13540.554629 13540.448929 3164.290000
14217.582360 14217.582361 14217.476661 3208.722000
14928.461478 14928.461479 14928.355779 3253.197000
15674.884552 15674.884553 15674.778853 3297.712000
16458.628780 16458.628780 16458.523080 3342.264000
17281.560219 17281.560219 17281.454519 3386.852000
18145.638230 18145.638230 18145.532530 3431.468000
19052.920141 19052.920142 19052.814442 3476.110000
20005.566148 20005.566149 20005.460449 3520.775000
21005.844456 21005.844456 21005.738756 3565.467000
22056.136679 22056.136679 22056.030979 3610.188000
23158.943513 23158.943513 23158.837813 3654.935000
24316.890688 24316.890688 24316.784988 3699.708000
25532.735223 25532.735223 25532.629523 3744.504000
26809.371984 26809.371984 26809.266284 3789.310000
28149.840583 28149.840583 28149.734883 3834.124000
29557.332612 29557.332612 29557.226912 3878.944000
31035.199243 31035.199243 31035.093543 3923.770000
32586.959205 32586.959205 32586.853505 3968.603000
34216.307165 34216.307165 34216.201465 4013.442000
35927.122523 35927.122523 35927.016823 4058.285000
37723.478649 37723.478650 37723.372950 4103.124000
39609.652582 39609.652582 39609.546882 4147.960000
41590.135211 41590.135211 41590.029511 4192.793000
43669.641972 43669.641972 43669.536272 4237.622000
45853.124070 45853.124070 45853.018370 4282.447000
48145.780274 48145.780274 48145.674574 4327.261000
50553.069287 50553.069287 50552.963587 4372.064000
53080.722752 53080.722752 53080.617052 4416.855000
55734.758889 55734.758889 55734.653189 4461.635000
58521.496834 58521.496834 58521.391134 4506.412000
61447.571676 61447.571676 61447.465976 4551.187000
64519.950259 64519.950259 64519.844559 4595.949000
67745.947772 67745.947772 67745.842072 4640.696000
71133.245161 71133.245161 71133.139461 4685.430000
74689.907419 74689.907419 74689.801719 4730.148000
78424.402790 78424.402790 78424.297090 4774.849000
82345.622929 82345.622929 82345.517229 4819.535000
86462.904076 86462.904076 86462.798376 4864.205000
90786.049280 90786.049280 90785.943580 4908.861000
95325.351744 95325.351744 95325.246044 4953.501000
100091.619331 100091.619331 100091.513631 4998.123000
105096.200297 105096.200297 105096.094597 5042.744000
110351.010312 110351.010312 110350.904612 5087.379000
115868.560828 115868.560828 115868.455128 5132.026000
121661.988869 121661.988869 121661.883169 5176.686000
127745.088313 127745.088313 127744.982613 5221.358000
134132.342728 134132.342728 134132.237028 5266.039999
140838.959865 140838.959865 140838.854165 5310.733999
147880.907858 147880.907858 147880.802158 5355.437999
155274.953251 155274.953251 155274.847551 5400.151999
163038.700913 163038.700913 163038.595213 5444.875999
171190.635959 171190.635959 171190.530259 5489.609999
179750.167757 179750.167757 179750.062057 5534.352999
188737.676145 188737.676145 188737.570445 5579.103999
198174.559952 198174.559952 198174.454252 5623.862999
208083.287950 208083.287950 208083.182250 5668.630999
218487.452347 218487.452347 218487.346647 5713.405999
229411.824964 229411.824964 229411.719264 5758.188999
240882.416213 240882.416213 240882.310513 5802.979999
252926.537023 252926.537023 252926.431323 5847.776999
265572.863874 265572.863874 265572.758174 5892.581999
278851.507068 278851.507068 278851.401368 5937.393999
292794.082422 292794.082422 292793.976722 5982.211999
307433.786543 307433.786543 307433.680843 6027.037999
322805.475870 322805.475870 322805.370170 6071.868999
338945.749663 338945.749663 338945.643963 6116.705999
355893.037146 355893.037146 355892.931446 6161.548999
373687.689004 373687.689004 373687.583304 6206.388999
392372.073454 392372.073454 392371.967754 6251.225999
411990.677127 411990.677127 411990.571427 6296.060999
432590.210983 432590.210983 432590.105283 6340.900999
454219.721532 454219.721532 454219.615832 6385.745999
476930.707609 476930.707609 476930.601909 6430.595999
500777.242989 500777.242989 500777.137289 6475.451999
525816.105139 525816.105139 525815.999439 6520.311999
552106.910396 552106.910396 552106.804696 6565.176999
579712.255915 579712.255915 579712.150215 6610.046999
608697.868711 608697.868711 608697.763011 6654.919999
639132.762147 639132.762147 639132.656447 6699.793999
671089.400254 671089.400254 671089.294554 6744.666999
704643.870267 704643.870267 704643.764567 6789.538999
739876.063780 739876.063780 739875.958080 6834.412999
776869.866969 776869.866969 776869.761269 6879.291999
815713.360318 815713.360318 815713.254618 6924.173999
856499.028333 856499.028333 856498.922633 6969.058999
899323.979750 899323.979750 899323.874050 7013.947999
944290.178738 944290.178738 944290.073038 7058.837999
991504.687674 991504.687674 991504.581974 7103.726999
