# Momemtum(GeV/c) Total_Energy(GeV) Kinetic_Energy(GeV) Range(m)
5.000000 5.001117 4.895417 8.699000
5.250000 5.251064 5.145364 9.112000
5.512500 5.513513 5.407813 9.545000
5.788125 5.789090 5.683390 9.998000
6.077531 6.078450 5.972750 10.471000
6.381408 6.382283 6.276583 10.967000
6.700478 6.701312 6.595612 11.485000
7.035502 7.036296 6.930596 12.027000
7.387277 7.388033 7.282333 12.593000
7.756641 7.757361 7.651661 13.186000
8.144473 8.145159 8.039459 13.807000
8.551697 8.552350 8.446650 14.456000
8.979282 8.979904 8.874204 15.134000
9.428246 9.428838 9.323138 15.844000
9.899658 9.900222 9.794522 16.587000
10.394641 10.395178 10.289478 17.364000
10.914373 10.914885 10.809185 18.178000
11.460092 11.460579 11.354879 19.028000
12.033096 12.033560 11.927860 19.918000
12.634751 12.635193 12.529493 20.849000
13.266489 13.266910 13.161210 21.823000
13.929813 13.930214 13.824514 22.842000
14.626304 14.626686 14.520986 23.908000
15.357619 15.357983 15.252283 25.023000
16.125500 16.125846 16.020146 26.189000
16.931775 16.932105 16.826405 27.409000
17.778363 17.778678 17.672978 28.686000
18.667282 18.667581 18.561881 30.021000
19.600646 19.600931 19.495231 31.417000
20.580678 20.580949 20.475249 32.878000
21.609712 21.609970 21.504270 34.406000
22.690197 22.690444 22.584744 36.005000
23.824707 23.824942 23.719242 37.677000
25.015943 25.016166 24.910466 39.425000
26.266740 26.266953 26.161253 41.253000
27.580077 27.580279 27.474579 43.166000
28.959081 28.959274 28.853574 45.165000
30.407035 30.407218 30.301518 47.256000
31.927386 31.927561 31.821861 49.442000
33.523756 33.523922 33.418222 51.727000
35.199944 35.200102 35.094402 54.116000
36.959941 36.960092 36.854392 56.613000
38.807938 38.808082 38.702382 59.223000
40.748335 40.748472 40.642772 61.951000
42.785751 42.785882 42.680182 64.801000
44.925039 44.925163 44.819463 67.778000
47.171291 47.171409 47.065709 70.890000
49.529855 49.529968 49.424268 74.140000
52.006348 52.006456 51.900756 77.535000
54.606666 54.606768 54.501068 81.081000
57.336999 57.337096 57.231396 84.783000
60.203849 60.203942 60.098242 88.648000
63.214041 63.214130 63.108430 92.682000
66.374743 66.374828 66.269128 96.893000
69.693481 69.693561 69.587861 101.287000
73.178155 73.178231 73.072531 105.870000
76.837062 76.837135 76.731435 110.652000
80.678915 80.678985 80.573285 115.639000
84.712861 84.712927 84.607227 120.838000
88.948504 88.948567 88.842867 126.258000
93.395929 93.395989 93.290289 131.906000
98.065726 98.065783 97.960083 137.791000
102.969012 102.969066 102.863366 143.921000
108.117463 108.117515 108.011815 150.305000
113.523336 113.523385 113.417685 156.951000
119.199503 119.199550 119.093850 163.867000
125.159478 125.159523 125.053823 171.063000
131.417452 131.417494 131.311794 178.549000
137.988324 137.988365 137.882665 186.332000
144.887741 144.887779 144.782079 194.421000
152.132128 152.132164 152.026464 202.826000
159.738734 159.738769 159.633069 211.555000
167.725671 167.725704 167.620004 220.617000
176.111954 176.111986 176.006286 230.020000
184.917552 184.917582 184.811882 239.774000
194.163430 194.163458 194.057758 249.889000
203.871601 203.871629 203.765929 260.373000
214.065181 214.065207 213.959507 271.236000
224.768440 224.768465 224.662765 282.487000
236.006862 236.006886 235.901186 294.133000
247.807205 247.807228 247.701528 306.184000
260.197566 260.197587 260.091887 318.647000
273.207444 273.207464 273.101764 331.531000
286.867816 286.867836 286.762136 344.844000
301.211207 301.211225 301.105525 358.592000
316.271767 316.271785 316.166085 372.780000
332.085356 332.085372 331.979672 387.414000
348.689623 348.689639 348.583939 402.499000
