# Momemtum(GeV/c) Total_Energy(GeV) Kinetic_Energy(GeV) Range(m)
366.124105 366.124120 366.018420 418.040000
384.430310 384.430324 384.324624 434.043000
403.651825 403.651839 403.546139 450.511000
423.834417 423.834430 423.728730 467.448000
445.026137 445.026150 444.920450 484.857000
467.277444 467.277456 467.171756 502.740000
490.641316 490.641328 490.535628 521.096000
515.173382 515.173393 515.067693 539.928000
540.932051 540.932062 540.826362 559.242000
567.978654 567.978664 567.872964 579.036000
596.377587 596.377596 596.271896 599.311000
626.196466 626.196475 626.090775 620.065000
657.506289 657.506298 657.400598 641.295000
690.381604 690.381612 690.275912 662.999000
724.900684 724.900692 724.794992 685.172000
761.145718 761.145725 761.040025 707.809000
799.203004 799.203011 799.097311 730.907000
839.163154 839.163161 839.057461 754.461000
881.121312 881.121318 881.015618 778.465000
925.177377 925.177384 925.071684 802.911000
971.436246 971.436252 971.330552 827.792000
1020.008059 1020.008064 1019.902364 853.100000
1071.008462 1071.008467 1070.902767 878.837000
1124.558885 1124.558890 1124.453190 904.997000
1180.786829 1180.786834 1180.681134 931.574000
1239.826170 1239.826175 1239.720475 958.559000
1301.817479 1301.817483 1301.711783 985.940000
1366.908353 1366.908357 1366.802657 1013.710000
1435.253770 1435.253774 1435.148074 1041.859000
1507.016459 1507.016463 1506.910763 1070.373000
1582.367282 1582.367285 1582.261585 1099.244000
1661.485646 1661.485649 1661.379949 1128.462000
1744.559928 1744.559932 1744.454232 1158.018000
1831.787925 1831.787928 1831.682228 1187.900000
1923.377321 1923.377324 1923.271624 1218.098000
2019.546187 2019.546190 2019.440490 1248.604000
2120.523496 2120.523499 2120.417799 1279.412000
2226.549671 2226.549674 2226.443974 1310.514000
2337.877155 2337.877157 2337.771457 1341.902000
2454.771013 2454.771015 2454.665315 1373.567000
2577.509563 2577.509565 2577.403865 1405.499000
2706.385041 2706.385043 2706.279343 1437.686000
2841.704293 2841.704295 2841.598595 1470.119000
2983.789508 2983.789510 2983.683810 1502.789000
3132.978983 3132.978985 3132.873285 1535.684000
3289.627933 3289.627934 3289.522234 1568.789000
3454.109329 3454.109331 3454.003631 1602.095000
3626.814796 3626.814797 3626.709097 1635.594000
3808.155535 3808.155537 3808.049837 1669.275000
3998.563312 3998.563314 3998.457614 1703.129000
4198.491478 4198.491479 4198.385779 1737.152000
4408.416052 4408.416053 4408.310353 1771.335000
4628.836854 4628.836856 4628.731156 1805.671000
4860.278697 4860.278698 4860.172998 1840.144000
5103.292632 5103.292633 5103.186933 1874.749000
5358.457264 5358.457265 5358.351565 1909.495000
5626.380127 5626.380128 5626.274428 1944.381000
5907.699133 5907.699134 5907.593434 1979.394000
6203.084090 6203.084091 6202.978391 2014.527000
6513.238294 6513.238295 6513.132595 2049.771000
6838.900209 6838.900210 6838.794510 2085.119000
7180.845219 7180.845220 7180.739520 2120.568000
7539.887480 7539.887481 7539.781781 2156.106000
7916.881854 7916.881855 7916.776155 2191.730000
8312.725947 8312.725948 8312.620248 2227.435000
8728.362244 8728.362245 8728.256545 2263.215000
9164.780357 9164.780357 9164.674657 2299.065000
9623.019374 9623.019375 9622.913675 2334.978000
10104.170343 10104.170344 10104.064644 2370.949000
10609.378860 10609.378861 10609.273161 2406.981000
11139.847803 11139.847804 11139.742104 2443.074000
11696.840193 11696.840194 11696.734494 2479.223000
12281.682203 12281.682204 12281.576504 2515.428000
12895.766313 12895.766314 12895.660614 2551.679000
13540.554629 13540.554629 13540.448929 2587.976000
14217.582360 14217.582361 14217.476661 2624.315000
14928.461478 14928.461479 14928.355779 2660.690000
15674.884552 15674.884553 15674.778853 2697.097000
16458.628780 16458.628780 16458.523080 2733.535000
17281.560219 17281.560219 17281.454519 2770.002000
18145.638230 18145.638230 18145.532530 2806.493000
19052.920141 19052.920142 19052.814442 2843.004000
20005.566148 20005.566149 20005.460449 2879.534000
21005.844456 21005.844456 21005.738756 2916.087000
22056.136679 22056.136679 22056.030979 2952.662000
23158.943513 23158.943513 23158.837813 2989.259000
24316.890688 24316.890688 24316.784988 3025.878000
25532.735223 25532.735223 25532.629523 3062.515000
26809.371984 26809.371984 26809.266284 3099.161000
28149.840583 28149.840583 28149.734883 3135.812000
29557.332612 29557.332612 29557.226912 3172.469000
31035.199243 31035.199243 31035.093543 3209.132000
32586.959205 32586.959205 32586.853505 3245.799000
34216.307165 34216.307165 34216.201465 3282.471000
35927.122523 35927.122523 35927.016823 3319.147000
37723.478649 37723.478650 37723.372950 3355.820000
39609.652582 39609.652582 39609.546882 3392.490000
41590.135211 41590.135211 41590.029511 3429.157000
43669.641972 43669.641972 43669.536272 3465.821000
45853.124070 45853.124070 45853.018370 3502.482000
48145.780274 48145.780274 48145.674574 3539.134000
50553.069287 50553.069287 50552.963587 3575.777000
53080.722752 53080.722752 53080.617052 3612.410000
55734.758889 55734.758889 55734.653189 3649.035000
58521.496834 58521.496834 58521.391134 3685.657000
61447.571676 61447.571676 61447.465976 3722.276000
64519.950259 64519.950259 64519.844559 3758.886000
67745.947772 67745.947772 67745.842072 3795.483000
71133.245161 71133.245161 71133.139461 3832.070000
74689.907419 74689.907419 74689.801719 3868.643000
78424.402790 78424.402790 78424.297090 3905.203000
82345.622929 82345.622929 82345.517229 3941.750000
86462.904076 86462.904076 86462.798376 3978.285000
90786.049280 90786.049280 90785.943580 4014.807000
95325.351744 95325.351744 95325.246044 4051.317000
100091.619331 100091.619331 100091.513631 4087.812000
105096.200297 105096.200297 105096.094597 4124.306000
110351.010312 110351.010312 110350.904612 4160.811000
115868.560828 115868.560828 115868.455128 4197.327000
121661.988869 121661.988869 121661.883169 4233.853000
127745.088313 127745.088313 127744.982613 4270.388000
134132.342728 134132.342728 134132.237028 4306.933000
140838.959865 140838.959865 140838.854165 4343.486000
147880.907858 147880.907858 147880.802158 4380.048000
155274.953251 155274.953251 155274.847551 4416.619000
163038.700913 163038.700913 163038.595213 4453.198000
171190.635959 171190.635959 171190.530259 4489.784000
179750.167757 179750.167757 179750.062057 4526.378000
188737.676145 188737.676145 188737.570445 4562.978000
198174.559952 198174.559952 198174.454252 4599.586000
208083.287950 208083.287950 208083.182250 4636.200000
218487.452347 218487.452347 218487.346647 4672.820000
229411.824964 229411.824964 229411.719264 4709.447000
240882.416213 240882.416213 240882.310513 4746.079000
252926.537023 252926.537023 252926.431323 4782.718000
265572.863874 265572.863874 265572.758174 4819.362000
278851.507068 278851.507068 278851.401368 4856.012000
292794.082422 292794.082422 292793.976722 4892.668000
307433.786543 307433.786543 307433.680843 4929.329000
322805.475870 322805.475870 322805.370170 4965.996000
338945.749663 338945.749663 338945.643963 5002.667000
355893.037146 355893.037146 355892.931446 5039.342000
373687.689004 373687.689004 373687.583304 5076.016000
392372.073454 392372.073454 392371.967754 5112.686000
411990.677127 411990.677127 411990.571427 5149.355000
432590.210983 432590.210983 432590.105283 5186.028000
454219.721532 454219.721532 454219.615832 5222.706000
476930.707609 476930.707609 476930.601909 5259.387999
500777.242989 500777.242989 500777.137289 5296.073999
525816.105139 525816.105139 525815.999439 5332.763999
552106.910396 552106.910396 552106.804696 5369.456999
579712.255915 579712.255915 579712.150215 5406.154999
608697.868711 608697.868711 608697.763011 5442.854999
639132.762147 639132.762147 639132.656447 5479.555999
671089.400254 671089.400254 671089.294554 5516.255999
704643.870267 704643.870267 704643.764567 5552.955999
739876.063780 739876.063780 739875.958080 5589.656999
776869.866969 776869.866969 776869.761269 5626.361999
815713.360318 815713.360318 815713.254618 5663.068999
856499.028333 856499.028333 856498.922633 5699.779999
899323.979750 899323.979750 899323.874050 5736.492999
944290.178738 944290.178738 944290.073038 5773.206999
991504.687674 991504.687674 991504.581974 5809.919999
